Latitude,Longitude
33.78072,-118.08886
33.78614,-118.08992
33.78172,-118.091
33.77952,-118.09107
33.78467,-118.09179
33.78597,-118.09329
33.78637,-118.09356
33.78641,-118.09366
33.78694,-118.09367
33.7862,-118.09373
33.78654,-118.09385
33.78654,-118.09388
33.78633,-118.09395
33.78648,-118.09403
33.78644,-118.09405
33.78712,-118.09424
33.78694,-118.09426
33.78683,-118.09429
33.7869,-118.0944
33.78666,-118.0944
33.78699,-118.09442
33.78699,-118.09443
33.78668,-118.09448
33.78672,-118.09453
33.78689,-118.09456
33.78698,-118.09476
33.78718,-118.09478
33.78705,-118.09483
33.78711,-118.09493
33.78717,-118.09516
33.78784,-118.09527
33.7873,-118.0954
33.78739,-118.09547
33.78791,-118.09572
33.7879,-118.09575
33.78814,-118.09589
33.7879,-118.0959
33.78818,-118.09591
33.78777,-118.09593
33.78773,-118.09595
33.788,-118.096
33.78785,-118.09606
33.7883,-118.09609
33.78841,-118.09629
33.78847,-118.09641
33.78861,-118.09647
33.7885,-118.09649
33.7889,-118.0966
33.78849,-118.09665
33.78876,-118.09666
33.7884,-118.0967
33.78884,-118.09676
33.78876,-118.09677
33.7887,-118.0968
33.78908,-118.09703
33.78892,-118.09709
33.78867,-118.09713
33.78889,-118.09714
33.78908,-118.09725
33.78928,-118.09727
33.7888,-118.0973
33.7893,-118.09736
33.78884,-118.09737
33.78938,-118.09738
33.7895,-118.0974
33.78898,-118.09743
33.78936,-118.09749
33.78901,-118.09759
33.7891,-118.09768
33.7896,-118.09769
33.78919,-118.09777
33.78968,-118.09779
33.78961,-118.09787
33.78961,-118.09795
33.7897,-118.0981
33.7896,-118.09822
33.78991,-118.09832
33.78993,-118.09833
33.78993,-118.09835
33.7899,-118.09837
33.78973,-118.0984
33.79016,-118.09847
33.79,-118.0985
33.7899,-118.0985
33.79003,-118.09857
33.79004,-118.09858
33.78996,-118.09873
33.7899,-118.09881
33.78999,-118.09882
33.79041,-118.09886
33.79023,-118.09892
33.79034,-118.09896
33.791,-118.099
33.79,-118.099
33.79015,-118.09913
33.79021,-118.09914
33.79041,-118.09915
33.79055,-118.09931
33.78965,-118.09942
33.79022,-118.09943
33.7893,-118.09945
33.78976,-118.09947
33.78947,-118.09947
33.78933,-118.09947
33.79004,-118.0995
33.7899,-118.0995
33.78983,-118.09951
33.78958,-118.09951
33.78991,-118.09954
33.7903,-118.0996
33.78877,-118.0996
33.79087,-118.09962
33.79079,-118.09965
33.79021,-118.09976
33.7907,-118.0998
33.79101,-118.09984
33.79062,-118.09984
33.79117,-118.0999
33.7911,-118.0999
33.79078,-118.09993
33.79129,-118.09996
33.79077,-118.09998
33.79077,-118.1
33.79108,-118.10001
33.7915,-118.10002
33.79156,-118.1001
33.7915,-118.1001
33.7912,-118.1001
33.79122,-118.10017
33.79129,-118.1002
33.79128,-118.10026
33.79091,-118.10026
33.79087,-118.10026
33.7913,-118.1003
33.79136,-118.10033
33.7914,-118.10034
33.79107,-118.10037
33.7913,-118.1004
33.79147,-118.10042
33.79114,-118.10044
33.79123,-118.10045
33.79132,-118.10051
33.792,-118.1006
33.79155,-118.1006
33.7911,-118.1006
33.79162,-118.10068
33.79179,-118.1007
33.79087,-118.10074
33.79168,-118.10078
33.7916,-118.10083
33.79168,-118.10088
33.79176,-118.10093
33.79149,-118.10098
33.79175,-118.101
33.79192,-118.10102
33.79185,-118.10104
33.79155,-118.10107
33.79181,-118.1011
33.79216,-118.10111
33.79169,-118.10118
33.79201,-118.10119
33.79195,-118.10119
33.79171,-118.10121
33.79208,-118.10126
33.79224,-118.10128
33.79179,-118.10129
33.7922,-118.10135
33.79215,-118.10141
33.79179,-118.10148
33.79223,-118.10153
33.7918,-118.10153
33.79226,-118.10156
33.79173,-118.10164
33.79229,-118.10167
33.79183,-118.1017
33.79256,-118.10173
33.79222,-118.10179
33.7925,-118.1018
33.79242,-118.10184
33.79261,-118.10192
33.79229,-118.10196
33.7927,-118.102
33.7923,-118.102
33.7912,-118.10202
33.79265,-118.10206
33.79267,-118.10212
33.79256,-118.10214
33.7929,-118.1022
33.79278,-118.1022
33.79258,-118.10221
33.79291,-118.10228
33.7926,-118.1023
33.79297,-118.10234
33.79258,-118.10242
33.793,-118.1025
