Latitude,Longitude
34.13902,-117.95553
34.139,-117.95557
34.13908,-117.95559
34.13881,-117.95565
34.13884,-117.95569
34.1385,-117.95575
34.13829,-117.95581
34.13775,-117.95591
34.1374,-117.956
34.13711,-117.95611
34.13704,-117.95615
34.13684,-117.95621
34.13661,-117.95628
34.13633,-117.9563
34.13645,-117.95631
34.13657,-117.95632
34.13619,-117.95638
34.13637,-117.95663
34.13626,-117.95664
34.13545,-117.95667
34.134,-117.957
34.13371,-117.95728
34.13408,-117.95794
34.13512,-117.9583
34.1326,-117.9588
34.13324,-117.95882
34.13285,-117.95886
34.13286,-117.95888
34.13274,-117.95893
34.13321,-117.95894
34.13239,-117.95894
34.13348,-117.95895
34.133,-117.95895
34.13353,-117.95898
34.13214,-117.959
34.132,-117.959
34.13191,-117.95904
34.13205,-117.95905
34.13236,-117.95913
34.13149,-117.95921
34.13215,-117.95922
34.13178,-117.95927
34.13142,-117.95936
34.13195,-117.95939
34.13145,-117.95939
34.1319,-117.9594
34.1318,-117.95943
34.1327,-117.95945
34.13186,-117.95945
34.131,-117.95955
34.13179,-117.95963
34.1312,-117.95966
34.13118,-117.9597
34.13161,-117.95982
34.13064,-117.9599
34.1315,-117.95994
34.13112,-117.96003
34.13512,-117.96011
34.13049,-117.96015
34.13026,-117.96018
34.1353,-117.9603
34.13111,-117.96031
34.13019,-117.9604
34.12995,-117.96046
34.13055,-117.96048
34.13045,-117.9605
34.1306,-117.96051
34.13051,-117.96055
34.13036,-117.96058
34.13049,-117.96061
34.13038,-117.96061
34.13021,-117.96074
34.13019,-117.96084
34.13011,-117.96086
34.13007,-117.96092
34.12949,-117.96093
34.12994,-117.961
34.1299,-117.961
34.12995,-117.96105
34.12981,-117.96111
34.12975,-117.96112
34.12926,-117.96116
34.1296,-117.9612
34.12961,-117.96128
34.13561,-117.96131
34.12962,-117.96137
34.12898,-117.96137
34.12935,-117.96141
34.13492,-117.96146
34.12924,-117.96154
34.12877,-117.96154
34.12886,-117.96158
34.1292,-117.9616
34.12886,-117.96166
34.12903,-117.96167
34.12862,-117.9617
34.12863,-117.96172
34.129,-117.96174
34.12856,-117.96174
34.13585,-117.96175
34.12871,-117.96176
34.13573,-117.96177
34.12847,-117.96181
34.12862,-117.96182
34.12848,-117.96186
34.12845,-117.96191
34.12828,-117.96194
34.12844,-117.96195
34.12821,-117.96195
34.1282,-117.962
34.12832,-117.96202
34.1282,-117.96202
34.12832,-117.96208
34.1281,-117.9621
34.12803,-117.9621
34.12823,-117.96211
34.12878,-117.96212
34.12861,-117.96213
34.12817,-117.96213
34.12822,-117.96214
34.12822,-117.96216
34.12812,-117.96218
34.12857,-117.9622
34.12811,-117.96221
34.12801,-117.96221
34.12802,-117.96222
34.12812,-117.96225
34.12799,-117.96229
34.12797,-117.96229
34.12801,-117.9623
34.13561,-117.96231
34.12806,-117.96231
34.12801,-117.96231
34.12793,-117.96232
34.12815,-117.96235
34.1283,-117.96236
34.12802,-117.96236
34.12797,-117.96237
34.12831,-117.96238
34.12803,-117.96238
34.128,-117.9624
34.12801,-117.96241
34.12823,-117.9625
34.12766,-117.9625
34.12779,-117.96253
34.12777,-117.96255
34.12801,-117.96261
34.12731,-117.96261
34.12751,-117.96264
34.12784,-117.96274
34.12799,-117.96275
34.12763,-117.96278
34.1278,-117.9628
34.1273,-117.9628
34.12751,-117.96281
34.12742,-117.96288
34.12718,-117.96288
34.12747,-117.9629
34.12742,-117.96294
34.12736,-117.96294
34.1272,-117.96298
34.12739,-117.96299
34.12755,-117.96301
34.12744,-117.96301
34.12729,-117.96302
34.12717,-117.96308
34.12718,-117.96311
34.12705,-117.96316
34.1275,-117.9632
34.12712,-117.96321
34.1271,-117.96321
34.127,-117.9633
34.12709,-117.96331
34.12706,-117.96331
34.12708,-117.96332
34.12692,-117.96332
34.12699,-117.96336
34.12699,-117.96337
34.12692,-117.9634
34.12685,-117.9634
34.12698,-117.96341
34.12714,-117.96352
34.12678,-117.96355
34.12668,-117.96357
34.12711,-117.96358
34.1264,-117.9636
34.12667,-117.96365
34.12657,-117.96366
34.12689,-117.96367
34.12675,-117.96367
34.12707,-117.96371
34.12672,-117.96371
34.12659,-117.96373
34.12658,-117.96376
34.12662,-117.96378
34.12699,-117.9638
34.1267,-117.9638
34.12686,-117.96383
34.12653,-117.96388
34.12679,-117.96391
34.1267,-117.964
34.12619,-117.96403
34.12611,-117.96411
34.12613,-117.96415
34.1261,-117.96419
34.12621,-117.96421
34.126,-117.96429
34.12646,-117.9644
34.1259,-117.9644
34.12588,-117.96443
34.12595,-117.9645
34.12619,-117.96456
34.12575,-117.96456
34.12626,-117.96458
34.1258,-117.96459
34.12625,-117.9646
34.12577,-117.96461
34.1256,-117.9647
34.12549,-117.96478
34.12551,-117.96482
34.12546,-117.96488
34.12544,-117.96497
34.12539,-117.96497
34.1253,-117.96506
34.12524,-117.9651
34.12524,-117.96513
34.12523,-117.96513
34.12567,-117.96518
34.12517,-117.96519
34.12548,-117.96521
34.12517,-117.96521
34.12538,-117.96522
34.12505,-117.96523
34.12514,-117.96526
34.12501,-117.96526
34.12518,-117.96531
34.12501,-117.96532
34.1251,-117.9654
34.12499,-117.9654
34.12494,-117.96547
34.12537,-117.9655
34.125,-117.9655
34.12491,-117.96557
34.12534,-117.96565
34.12508,-117.96567
34.12466,-117.96573
34.12463,-117.96577
34.12461,-117.96581
34.12453,-117.96581
34.12456,-117.96586
34.12453,-117.96591
34.12444,-117.96593
34.12451,-117.96603
34.1244,-117.9661
34.12434,-117.96611
34.12429,-117.96612
34.12423,-117.96617
34.12421,-117.96626
34.12409,-117.96638
34.12411,-117.9665
34.1242,-117.96662
34.12398,-117.96679
34.12406,-117.96683
34.12372,-117.96689
34.12366,-117.96701
34.12372,-117.96709
34.12302,-117.96777
34.123,-117.9679
34.1228,-117.96806
34.12257,-117.96809
34.12227,-117.96826
34.12257,-117.96827
34.12217,-117.96845
34.12246,-117.96846
34.12232,-117.96865
34.1222,-117.96869
34.12231,-117.96875
34.1216,-117.9689
34.12209,-117.96891
34.12152,-117.96896
34.12154,-117.96899
34.1215,-117.969
34.12435,-117.96901
34.12145,-117.96901
34.12194,-117.96904
34.12148,-117.96905
34.12148,-117.96912
34.12122,-117.96925
34.12116,-117.96925
34.12117,-117.96927
34.12138,-117.9694
34.12093,-117.96951
34.12106,-117.96952
34.1207,-117.9696
34.12142,-117.96962
34.1207,-117.96973
34.12176,-117.96974
34.12088,-117.96992
34.12085,-117.9701
34.12072,-117.97017
34.12062,-117.97057
34.12017,-117.97059
34.12006,-117.9706
34.1202,-117.9708
34.12014,-117.97083
34.12,-117.97083
34.11972,-117.97085
34.12008,-117.9709
34.11969,-117.97108
34.12005,-117.9711
34.11991,-117.9711
34.12007,-117.97126
34.11986,-117.97126
34.11949,-117.97127
34.11909,-117.97127
34.11932,-117.97128
34.11982,-117.97136
34.1193,-117.9714
34.11934,-117.97147
34.1192,-117.9716
34.1194,-117.97161
34.11924,-117.97161
34.1191,-117.97162
34.1188,-117.97163
34.11927,-117.97164
34.1191,-117.97164
34.11923,-117.97165
34.1195,-117.97171
34.11913,-117.97171
34.11911,-117.97171
34.11898,-117.97176
34.11898,-117.97177
34.1193,-117.9718
34.11911,-117.97182
34.11901,-117.97183
34.11906,-117.97184
34.11941,-117.97187
34.11901,-117.9719
34.11881,-117.97204
34.1188,-117.9721
34.11868,-117.97226
34.11825,-117.97233
34.11832,-117.97236
34.11921,-117.97237
34.11865,-117.97238
34.11862,-117.97238
34.11871,-117.97241
34.1186,-117.9725
34.11842,-117.97264
34.11855,-117.97265
34.11849,-117.97273
34.11837,-117.97273
34.1187,-117.9728
34.11823,-117.9728
34.1185,-117.97281
34.11859,-117.97288
34.11833,-117.97288
34.1187,-117.9729
34.11831,-117.97295
34.11822,-117.97302
34.11824,-117.97313
34.11844,-117.97316
34.11809,-117.97318
34.1185,-117.9732
34.11842,-117.97325
34.11809,-117.97329
34.11798,-117.97345
34.11824,-117.97348
34.11804,-117.97358
34.11798,-117.97358
34.11826,-117.97376
34.11773,-117.97376
34.11755,-117.97397
34.11783,-117.974
34.11772,-117.97408
34.11761,-117.97411
34.11748,-117.97412
34.11757,-117.97416
34.11765,-117.9742
34.11751,-117.97424
34.11779,-117.97428
34.11789,-117.9743
34.11779,-117.9743
34.11789,-117.97433
34.11767,-117.97438
34.1171,-117.9744
34.11773,-117.97442
34.11754,-117.9745
34.11738,-117.97454
34.11757,-117.9746
34.11721,-117.97465
34.11766,-117.97468
34.11744,-117.97468
34.11751,-117.97481
34.11738,-117.97488
34.11756,-117.97489
34.11716,-117.97496
34.11731,-117.97499
34.117,-117.97499
34.11705,-117.97509
34.11706,-117.9751
34.11735,-117.97512
34.11722,-117.97527
34.1169,-117.97544
34.11682,-117.9755
34.11683,-117.97553
34.11672,-117.97553
34.11631,-117.97568
34.11687,-117.97575
34.11657,-117.97576
34.11686,-117.97578
34.11686,-117.9758
34.1163,-117.97583
34.11624,-117.97596
34.11667,-117.97601
34.1165,-117.97608
34.11633,-117.97609
34.1167,-117.9761
34.11658,-117.9761
34.11634,-117.9761
34.11676,-117.97621
34.11625,-117.97626
34.11648,-117.97628
34.11602,-117.97628
34.11615,-117.97632
34.1164,-117.9764
34.11617,-117.97641
34.1163,-117.97645
34.11549,-117.97651
34.1157,-117.97655
34.1156,-117.97658
34.1162,-117.9766
34.11616,-117.97663
34.11583,-117.97667
34.1161,-117.9767
34.11608,-117.9767
34.11643,-117.97673
34.1158,-117.9768
34.11626,-117.97682
34.11601,-117.9769
34.116,-117.97692
34.11639,-117.97693
34.11607,-117.97693
34.116,-117.977
34.11423,-117.97703
34.11594,-117.97706
34.11555,-117.97711
34.11583,-117.97714
34.11545,-117.97714
34.11556,-117.97715
34.11584,-117.97719
34.11551,-117.97721
34.11612,-117.97724
34.11591,-117.97724
34.11533,-117.9773
34.11562,-117.97735
34.11548,-117.97735
34.11522,-117.97752
34.11507,-117.97752
34.11504,-117.97759
34.11487,-117.97771
34.11539,-117.97773
34.11484,-117.97773
34.11524,-117.97775
34.1155,-117.97777
34.11193,-117.9778
34.11531,-117.97781
34.1146,-117.97781
34.11512,-117.97792
34.11449,-117.97796
34.11491,-117.97798
34.1145,-117.97806
34.11436,-117.97807
34.11532,-117.97808
34.11408,-117.97814
34.11423,-117.97816
34.1142,-117.97816
34.1141,-117.9782
34.1146,-117.97821
34.11473,-117.97825
34.11393,-117.97827
34.11418,-117.9783
34.11517,-117.97836
34.11503,-117.9784
34.11387,-117.9784
34.1136,-117.9784
34.11406,-117.97841
34.11503,-117.97843
34.11395,-117.97843
